longTermAdminNm,longTermAdminSym,longTermAdminCd,hmPostNo,TelNo,siDoCd,siGunGuCd,detailAddr,ratingCd,ratingDate,ratingGrade,adminPttnName,longTermPeribRgtDt,StpRptDt,opRating,safeRating,rightRating,processRating,resultRating
노원요양복지원,11135000268,A03,,,,,,2018년 정기평가,2018-05-21,C,노인요양시설,2013-06-11,2013-06-10,70,89,81,73,79
시립중계노인전문요양원,11135000011,A03,,,,,,2018년 정기평가,2018-05-15,A,노인요양시설,2008-05-29,2008-05-29,93,100,100,100,97
늘사랑실버센터,11135000188,A03,,,,,,2018년 정기평가,2018-03-05,B,노인요양시설,2010-07-26,2010-07-26,91,92,100,75,78
구립하계실버센터,11135000016,A03,,,,,,2018년 정기평가,2018-04-16,A,노인요양시설,2008-06-04,2007-11-05,98,92,100,100,94
노원효사랑요양원,11135000160,A04,,,,,,2018년 정기평가,2018-06-01,D,노인요양공동생활가정,2010-03-01,2010-03-01,57,85,40,61,81
A+행복한그린요양원,11135000355,A03,,,,,,2018년 정기평가,2018-08-03,C,노인요양시설,2015-11-04,2015-11-04,60,90,59,72,80
서울실버케어노인요양원,11135000223,A03,,,,,,2018년 정기평가,2018-03-22,E,노인요양시설,2011-09-01,2011-09-01,23,83,38,53,42
노원사랑요양원1,11135000216,A04,,,,,,2018년 정기평가,2018-04-19,E,노인요양공동생활가정,2011-03-02,2011-03-02,67,78,38,75,69
노원사랑요양원2,11135000217,A04,,,,,,2018년 정기평가,2018-04-19,D,노인요양공동생활가정,2011-03-02,2011-03-02,60,74,52,68,56
노원사랑요양원3,11135000225,A04,,,,,,2018년 정기평가,2018-04-19,C,노인요양공동생활가정,2011-09-01,2011-09-01,62,80,75,74,69
노원사랑요양원4,11135000227,A04,,,,,,2018년 정기평가,2018-04-19,D,노인요양공동생활가정,2011-09-23,2011-09-23,58,74,70,63,90
너싱홈 돌봄과간호1,11135000260,A04,,,,,,2018년 정기평가,2018-07-19,C,노인요양공동생활가정,2013-04-08,2013-04-08,76,87,81,58,90
너싱홈 돌봄과간호2,11135000261,A04,,,,,,2018년 정기평가,2018-07-19,C,노인요양공동생활가정,2013-04-08,2013-04-08,66,92,81,60,95
수요양원,11135000292,A04,,,,,,2018년 정기평가,2018-04-26,E,노인요양공동생활가정,2014-04-01,2014-03-26,33,75,45,37,78
가온요양원,11135000372,A04,,,,,,2018년 정기평가,2018-06-21,C,노인요양공동생활가정,2016-06-17,2016-06-17,80,86,63,75,80
주사랑노인종합복지센터,11135000333,A04,,,,,,2018년 정기평가,2018-03-12,E,노인요양공동생활가정,2015-02-01,2010-07-26,23,20,20,0,40
중앙소규모요양시설,11141000021,A03,,,,,,2018년 정기평가,2018-03-23,D,노인요양시설,2008-06-27,2008-06-27,63,75,52,53,68
홍은노인요양시설,11141000098,A03,,,,,,2018년 정기평가,2018-06-27,C,노인요양시설,2010-03-01,2010-03-01,93,89,59,100,90
서대문노인복지관요양센터,11141000097,A03,,,,,,2018년 정기평가,2018-07-16,C,노인요양시설,2010-03-01,2010-03-01,81,100,52,85,89
연희시니어스,11141000149,A03,,,,,,2018년 정기평가,2018-03-22,C,노인요양시설,2012-09-27,2012-09-27,68,82,72,66,88
효림노인요양센터,11141000023,A03,,,,,,2018년 정기평가,2018-04-02,A,노인요양시설,2008-06-27,2008-06-27,95,90,100,98,87
구립서대문노인전문요양센터,11141000073,A03,,,,,,2018년 정기평가,2018-04-02,A,노인요양시설,2009-08-18,2009-08-18,100,97,90,100,79
효드림요양원,11141000210,A03,,,,,,2018년 정기평가,2018-03-22,C,노인요양시설,2016-07-06,2016-07-06,81,87,63,73,80
연궁너싱홈,11141000133,A04,,,,,,2018년 정기평가,2018-07-11,E,노인요양공동생활가정,2011-03-04,2011-03-04,48,80,54,44,83
중앙실버노인요양공동생활가정,11141000170,A04,,,,,,2018년 정기평가,2018-03-23,E,노인요양공동생활가정,2014-01-03,2014-01-03,78,55,34,52,73
은혜실버 노인요양공동생활가정,11141000191,A04,,,,,,2018년 정기평가,2018-03-09,D,노인요양공동생활가정,2014-10-30,2014-10-30,60,74,81,48,77
양천사랑마루,11147000013,A03,,,,,,2018년 정기평가,2018-03-19,A,노인요양시설,2008-06-24,2008-02-18,86,87,95,94,92
신목행복자리어르신요양센터,11147000121,A03,,,,,,2018년 정기평가,2018-03-09,B,노인요양시설,2010-03-01,2010-03-01,83,95,84,80,95
양천어르신종합복지관 병설양천어르신요양센터,11147000136,A03,,,,,,2018년 정기평가,2018-08-02,B,노인요양시설,2010-03-01,2010-03-01,96,94,100,73,91
신월실버요양원,11147000322,A03,,,,,,2018년 정기평가,2018-04-20,D,노인요양시설,2016-09-01,2016-09-01,65,77,81,52,84
구립양천어르신요양센터,11147000183,A03,,,,,,2018년 정기평가,2018-07-31,A,노인요양시설,2011-04-01,2011-04-01,98,100,100,98,87
두엄자리,11147000005,A03,,,,,,2018년 정기평가,2018-03-05,B,노인요양시설,2008-06-03,2005-07-28,86,83,79,83,77
정다운요양원,11147000221,A03,,,,,,2018년 정기평가,2018-07-25,C,노인요양시설,2012-05-25,2012-05-25,60,81,90,68,50
나눔의집,11147000124,A04,,,,,,2018년 정기평가,2018-08-24,C,노인요양공동생활가정,2010-03-01,2010-03-01,55,78,88,64,90
목동조은요양원,11147000294,A04,,,,,,2018년 정기평가,2018-03-05,B,노인요양공동생활가정,2015-06-01,2015-06-01,92,86,90,91,87
나이팅게일 너싱홈,11147000093,A04,,,,,,2018년 정기평가,2018-08-03,A,노인요양공동생활가정,2009-09-01,2009-09-01,85,90,90,91,97
보람의집,11147000126,A04,,,,,,2018년 정기평가,2018-08-24,C,노인요양공동생활가정,2010-01-28,2010-01-28,64,89,88,66,95
신목동 노인복지센터,11147000076,A04,,,,,,2018년 정기평가,2018-07-19,E,노인요양공동생활가정,2009-07-13,2009-07-13,55,73,54,30,84
삼농실버마을,11153000215,A03,,,,,,2018년 정기평가,2018-08-09,B,노인요양시설,2014-05-01,2014-05-01,96,95,63,96,87
효도로 노인전문요양원,11153000136,A03,,,,,,2018년 정기평가,2018-06-22,C,노인요양시설,2010-07-01,2010-07-01,86,95,100,85,73
미소들실버케어센터,11153000208,A03,,,,,,2018년 정기평가,2018-09-13,A,노인요양시설,2014-04-01,2014-04-01,91,95,100,92,92
구로푸른요양원,11153000210,A03,,,,,,2018년 정기평가,2018-04-20,B,노인요양시설,2014-04-15,2014-04-15,70,89,100,78,65
구로 미가 요양원,11153000246,A03,,,,,,2018년 정기평가,2018-03-06,E,노인요양시설,2015-12-30,2015-12-30,50,85,34,57,81
늘봄시니어케어센터,11153000267,A03,,,,,,2018년 정기평가,2018-05-24,C,노인요양시설,2016-11-16,2016-11-16,76,93,63,69,76
휴림실버요양센터,11153000234,A03,,,,,,2018년 정기평가,2018-03-29,C,노인요양시설,2015-06-12,2015-06-12,70,86,86,68,80
행복요양원,11153000103,A04,,,,,,2018년 정기평가,2018-07-04,C,노인요양공동생활가정,2009-11-06,2009-11-06,75,90,63,75,81
행복요양원2,11153000178,A04,,,,,,2018년 정기평가,2018-07-04,E,노인요양공동생활가정,2012-11-01,2012-11-01,25,59,59,44,81
행복요양원3,11153000179,A04,,,,,,2018년 정기평가,2018-07-04,E,노인요양공동생활가정,2012-11-01,2012-11-01,10,64,40,25,71
서울숲요양원,11162000277,A03,,,,,,2018년 정기평가,2018-04-16,D,노인요양시설,2016-10-20,2016-10-20,60,78,59,57,83
미성요양원,11162000078,A03,,,,,,2018년 정기평가,2018-06-08,C,노인요양시설,2009-07-30,2009-07-30,76,88,63,72,90
관악노인종합사회복지관 병설 관악치매전문요양센터,11162000113,A03,,,,,,2018년 정기평가,2018-03-09,A,노인요양시설,2010-03-01,2010-03-01,98,92,100,92,80
한보리노인요양센타,11162000114,A04,,,,,,2018년 정기평가,2018-08-06,E,노인요양공동생활가정,2010-03-01,2010-03-01,55,70,45,47,85
동명노인복지센타,11162000002,A03,,,,,,2018년 정기평가,2018-04-13,B,노인요양시설,2008-06-04,2002-01-29,91,90,100,84,97
강남한보리전문요양원,11162000193,A03,,,,,,2018년 정기평가,2018-08-06,B,노인요양시설,2013-09-26,2013-09-26,78,90,63,78,90
법화노인요양원,11162000099,A03,,,,,,2018년 정기평가,2018-03-23,E,노인요양시설,2009-11-12,2009-11-12,56,65,45,52,86
삼성요양원,11162000253,A03,,,,,,2018년 정기평가,2018-03-05,D,노인요양시설,2016-01-27,2016-01-27,46,96,45,47,85
에덴요양원,11162000189,A04,,,,,,2018년 정기평가,2018-03-08,A,노인요양공동생활가정,2013-06-14,2013-06-14,85,95,81,96,90
인애요양원,11162000223,A04,,,,,,2018년 정기평가,2018-07-16,E,노인요양공동생활가정,2015-02-10,2015-02-10,48,61,45,22,94
가나안요양원,11162000246,A04,,,,,,2018년 정기평가,2018-05-28,B,노인요양공동생활가정,2015-10-16,2015-10-16,75,95,100,68,76
다원요양원,11162000268,A04,,,,,,2018년 정기평가,2018-03-06,B,노인요양공동생활가정,2016-08-01,2016-08-01,71,100,90,69,89
다원요양센터,11162000269,A04,,,,,,2018년 정기평가,2018-03-06,C,노인요양공동생활가정,2016-08-01,2016-08-01,64,95,90,64,97
엔젤요양원,11162000247,A04,,,,,,2018년 정기평가,2018-03-13,E,노인요양공동생활가정,2015-10-21,2015-10-21,35,73,38,61,88
함춘요양원,11165000102,A03,,,,,,2018년 정기평가,2018-03-20,C,노인요양시설,2011-04-18,2011-04-14,58,88,93,63,57
구립서초노인요양센터,11165000098,A03,,,,,,2018년 정기평가,2018-04-18,A,노인요양시설,2011-01-13,2011-01-13,98,100,100,92,94
서초성심노인복지센터,11165000081,A03,,,,,,2018년 정기평가,2018-07-25,A,노인요양시설,2010-03-01,2010-03-01,78,90,100,97,96
장생시니어타운,11165000086,A03,,,,,,2018년 정기평가,2018-05-15,B,노인요양시설,2010-04-07,2010-04-07,76,89,86,92,79
사랑의집,11165000083,A04,,,,,,2018년 정기평가,2018-08-07,E,노인요양공동생활가정,2010-03-01,2010-03-01,51,63,45,31,93
보눔케어요양원,11171000216,A03,,,,,,2018년 정기평가,2018-03-29,D,노인요양시설,2014-04-22,2014-04-22,55,82,40,75,73
시립송파노인전문요양원,11171000136,A03,,,,,,2018년 정기평가,2018-04-24,A,노인요양시설,2010-02-01,2010-02-01,91,94,100,87,94
청암노인요양원,11171000016,A03,,,,,,2018년 정기평가,2018-08-03,A,노인요양시설,2008-06-23,2008-06-23,98,97,100,91,89
송파치매케어센터,11171000139,A03,,,,,,2018년 정기평가,2018-08-03,C,노인요양시설,2010-03-01,2010-03-01,76,92,81,70,75
은빛노인요양공동생활가정4,11171000140,A04,,,,,,2018년 정기평가,2018-04-05,D,노인요양공동생활가정,2010-03-01,2010-03-01,91,73,59,56,87
구립송파노인요양센터,11171000123,A03,,,,,,2018년 정기평가,2018-04-26,A,노인요양시설,2009-12-01,2009-12-01,96,97,100,98,88
굿모닝케어노인전문요양원,11171000116,A03,,,,,,2018년 정기평가,2018-07-04,D,노인요양시설,2009-10-26,2009-10-26,66,93,45,59,80
수실버간호센터,11171000141,A04,,,,,,2018년 정기평가,2018-08-16,A,노인요양공동생활가정,2010-03-01,2010-03-01,83,97,100,91,79
에덴실버요양원,11171000144,A04,,,,,,2018년 정기평가,2018-03-13,C,노인요양공동생활가정,2010-03-01,2010-03-01,98,84,52,76,93
송파그린요양원,11171000172,A04,,,,,,2018년 정기평가,2018-04-03,D,노인요양공동생활가정,2011-08-10,2011-08-10,76,73,77,56,92
송파그린요양원2,11171000191,A04,,,,,,2018년 정기평가,2018-04-03,B,노인요양공동생활가정,2012-10-10,2012-10-10,76,88,95,77,89
포도나무실버타운1호점,11171000156,A04,,,,,,2018년 정기평가,2018-06-22,C,노인요양공동생활가정,2010-09-01,2010-09-01,55,83,63,62,97
포도나무실버타운2호점,11171000157,A04,,,,,,2018년 정기평가,2018-06-22,E,노인요양공동생활가정,2010-09-01,2010-09-01,48,73,54,64,73
포도나무실버타운3호점,11171000175,A04,,,,,,2018년 정기평가,2018-06-22,D,노인요양공동생활가정,2011-12-12,2011-12-12,62,85,45,66,94
포도나무실버타운4호점,11171000176,A04,,,,,,2018년 정기평가,2018-06-22,D,노인요양공동생활가정,2011-12-12,2011-12-12,83,86,45,65,77
은빛노인요양공동생활가정1,11171000084,A04,,,,,,2018년 정기평가,2018-04-05,D,노인요양공동생활가정,2009-06-30,2009-06-30,85,89,63,48,77
은빛노인요양공동생활가정2,11171000085,A04,,,,,,2018년 정기평가,2018-04-05,D,노인요양공동생활가정,2009-06-30,2009-06-30,89,91,63,47,92
은빛노인요양공동생활가정3,11171000203,A04,,,,,,2018년 정기평가,2018-04-05,C,노인요양공동생활가정,2013-06-12,2013-06-12,89,73,95,60,82
시립서부노인전문요양센터,11144000012,A03,,,,,,2018년 정기평가,2018-04-18,A,노인요양시설,2008-06-04,2008-06-04,98,100,100,99,89
마포노인복지센터,11144000088,A03,,,,,,2018년 정기평가,2018-10-23,A,노인요양시설,2010-03-01,2010-02-25,86,94,95,92,98
설화요양원,11144000137,A04,,,,,,2018년 정기평가,2018-10-10,C,노인요양공동생활가정,2013-07-09,2013-07-09,78,81,68,76,90
인자인케어센터,11111000056,A03,,,,,,2018년 정기평가,2018-03-22,B,노인요양시설,2010-07-01,2010-07-01,85,87,95,97,85
청운노인요양원,11111000006,A03,,,,,,2018년 정기평가,2018-05-23,B,노인요양시설,2008-06-25,2008-06-25,88,95,63,95,85
해피움시니어스타워(종로점),11111000087,A03,,,,,,2018년 정기평가,2018-05-10,C,노인요양시설,2015-08-17,2015-08-17,73,90,56,71,82
평창동시니어센터,11111000060,A03,,,,,,2018년 정기평가,2018-04-05,C,노인요양시설,2010-11-25,2010-11-25,85,100,100,76,89
서울여자간호대학교 휴먼캐슬,11111000076,A03,,,,,,2018년 정기평가,2018-03-20,A,노인요양시설,2013-05-30,2013-05-30,96,97,100,94,88
아름다운뜰안에 요양원,11111000068,A03,,,,,,2018년 정기평가,2018-08-09,A,노인요양시설,2011-08-16,2011-08-16,91,92,100,98,95
아름다운실버홈,11111000088,A03,,,,,,2018년 정기평가,2018-08-09,C,노인요양시설,2015-12-08,2013-04-08,58,87,77,69,89
청운실버센터,11111000033,A04,,,,,,2018년 정기평가,2018-08-02,B,노인요양공동생활가정,2009-02-27,2009-02-27,75,85,77,80,89
세검정실버홈,11111000078,A03,,,,,,2018년 정기평가,2018-03-06,B,노인요양시설,2014-02-08,2014-02-08,76,95,75,77,88
사랑의 집,11117000004,A04,,,,,,2018년 정기평가,2018-03-27,E,노인요양공동생활가정,2008-06-24,2008-06-17,48,49,27,55,93
구립한남노인요양원,11117000092,A03,,,,,,2018년 정기평가,2018-08-02,C,노인요양시설,2014-09-01,2014-09-01,80,86,54,64,83
구립용산노인전문요양원,11117000054,A03,,,,,,2018년 정기평가,2018-08-17,A,노인요양시설,2010-10-30,2008-07-09,91,95,90,98,98
금호노인요양원,11120000065,A03,,,,,,2018년 정기평가,2018-03-20,D,노인요양시설,2010-03-01,2010-03-01,70,86,59,54,66
시립동부노인전문요양센터,11120000010,A03,,,,,,2018년 정기평가,2018-04-17,A,노인요양시설,2008-06-19,2008-06-19,100,94,100,92,93
이암요양원,11120000093,A03,,,,,,2018년 정기평가,2018-03-19,C,노인요양시설,2012-08-10,2012-08-10,65,87,72,72,97
한마음너싱홈,11120000056,A04,,,,,,2018년 정기평가,2018-08-16,C,노인요양공동생활가정,2009-11-02,2009-10-28,80,90,56,84,88
서울숲재활요양원,11120000126,A04,,,,,,2018년 정기평가,2018-10-12,C,노인요양공동생활가정,2015-10-01,2015-10-01,80,82,63,77,89
서울숲 요양원,11120000110,A04,,,,,,2018년 정기평가,2018-03-15,C,노인요양공동생활가정,2014-04-11,2014-04-11,69,84,77,66,84
영지요양원,11126000322,A03,,,,,,2018년 정기평가,2018-07-25,E,노인요양시설,2016-08-25,2016-08-25,40,82,52,25,78
유린원광노인요양원,11126000111,A03,,,,,,2018년 정기평가,2018-10-02,B,노인요양시설,2010-03-01,2010-03-01,90,98,63,76,95
상봉요양원요양센터,11126000287,A03,,,,,,2018년 정기평가,2018-08-02,C,노인요양시설,2015-07-31,2015-07-31,70,89,63,62,97
효원노인복지센터A,11126000113,A04,,,,,,2018년 정기평가,2018-04-02,D,노인요양공동생활가정,2010-03-01,2010-03-01,82,67,65,41,86
서울시립중랑노인전문요양원,11126000271,A03,,,,,,2018년 정기평가,2018-08-17,B,노인요양시설,2015-03-01,2015-03-01,96,93,63,77,95
서울꽃동네신내노인요양원,11126000011,A03,,,,,,2018년 정기평가,2018-08-02,A,노인요양시설,2008-06-23,2001-05-11,98,100,100,100,74
예원요양원,11126000112,A04,,,,,,2018년 정기평가,2018-06-15,D,노인요양공동생활가정,2010-03-01,2010-03-01,62,82,59,62,90
한세노인복지센터,11126000162,A03,,,,,,2018년 정기평가,2018-03-06,E,노인요양시설,2011-03-28,2011-03-28,80,68,40,31,88
축복재가장기노인요양원,11126000118,A04,,,,,,2018년 정기평가,2018-03-16,E,노인요양공동생활가정,2010-03-12,2010-03-12,21,60,20,47,72
베스트그린요양원1호점,11126000163,A04,,,,,,2018년 정기평가,2018-04-25,C,노인요양공동생활가정,2011-03-29,2011-03-29,80,84,63,64,81
베스트그린요양원2호점,11126000164,A04,,,,,,2018년 정기평가,2018-04-25,D,노인요양공동생활가정,2011-03-29,2011-03-29,82,83,52,54,86
가천요양원,11126000333,A04,,,,,,2018년 정기평가,2018-03-09,B,노인요양공동생활가정,2016-11-01,2016-11-01,89,79,81,83,85
로뎀노인요양공동생활가정,11126000036,A04,,,,,,2018년 정기평가,2018-10-04,B,노인요양공동생활가정,2008-10-20,2008-10-20,76,89,90,85,85
효심(가)요양원,11126000253,A04,,,,,,2018년 정기평가,2018-08-07,E,노인요양공동생활가정,2014-10-01,2014-10-01,51,84,59,31,72
효심(나)요양원,11126000254,A04,,,,,,2018년 정기평가,2018-08-07,E,노인요양공동생활가정,2014-10-01,2014-10-01,69,81,59,35,57
효심(다)요양원,11126000291,A04,,,,,,2018년 정기평가,2018-08-07,E,노인요양공동생활가정,2015-10-01,2015-10-01,53,80,45,30,65
효심(라)요양원,11126000292,A04,,,,,,2018년 정기평가,2018-08-07,E,노인요양공동생활가정,2015-10-01,2015-10-01,42,72,45,45,80
효원노인복지센터B,11126000230,A04,,,,,,2018년 정기평가,2018-04-02,D,노인요양공동생활가정,2013-09-13,2013-09-13,85,67,56,45,84
효원노인복지센터C,11126000231,A04,,,,,,2018년 정기평가,2018-04-02,C,노인요양공동생활가정,2013-09-13,2013-09-13,83,85,79,51,86
효원노인복지센터D,11126000232,A04,,,,,,2018년 정기평가,2018-04-02,D,노인요양공동생활가정,2013-09-13,2013-09-13,82,85,65,48,91
면목요양원,11126000218,A04,,,,,,2018년 정기평가,2018-07-12,B,노인요양공동생활가정,2013-07-01,2013-07-01,85,87,100,83,95
우리가족요양원 1호점,11126000315,A04,,,,,,2018년 정기평가,2018-09-21,E,노인요양공동생활가정,2016-07-01,2016-07-01,48,90,52,75,76
우리가족요양원 2호점,11126000316,A04,,,,,,2018년 정기평가,2018-09-21,D,노인요양공동생활가정,2016-07-01,2016-07-01,55,87,52,80,94
평강요양원,11126000326,A04,,,,,,2018년 정기평가,2018-05-14,E,노인요양공동생활가정,2016-09-06,2016-09-06,78,65,45,42,81
동우너싱홈,11126000074,A04,,,,,,2018년 정기평가,2018-03-12,B,노인요양공동생활가정,2009-06-23,2009-06-23,76,85,81,74,95
엘림요양원,11126000336,A04,,,,,,2018년 정기평가,2018-07-04,E,노인요양공동생활가정,2016-12-14,2016-12-14,28,72,45,35,74
예원요양원 2호점,11126000217,A04,,,,,,2018년 정기평가,2018-06-15,D,노인요양공동생활가정,2013-06-25,2013-06-25,62,80,52,40,95
두레노인요양원,11126000119,A04,,,,,,2018년 정기평가,2018-05-04,E,노인요양공동생활가정,2010-03-17,2010-03-15,50,58,40,29,90
두레노인요양원B,11126000191,A04,,,,,,2018년 정기평가,2018-05-04,E,노인요양공동생활가정,2012-03-29,2012-03-29,48,53,45,32,72
두레노인요양원C,11126000234,A04,,,,,,2018년 정기평가,2018-05-04,E,노인요양공동생활가정,2013-11-15,2013-11-15,39,62,63,35,82
